r	 b 	 Ax 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
2.000	 2.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
0.000	 0.000 	 0.000 
