A_p	 A_e 	 A_w 	 A_n 	 A_s 	 T 	 b
6.000	 -1.000 	 0.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
5.000	 -1.000 	 -1.000 	 0.000 	 -1.000 	 0.000 	 2.000
