L_p	 L_n 	 L_w 	 U_e 	 U_s 	 R 	 delta
6.000	 0.000 	 0.000 	 -0.167 	 -0.167 	 -nan 	 -nan
4.833	 0.000 	 -1.000 	 -0.207 	 -0.207 	 -nan 	 -nan
4.793	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
4.791	 0.000 	 -1.000 	 -0.209 	 -0.209 	 -nan 	 -nan
5.791	 0.000 	 -1.000 	 0.000 	 -0.173 	 -nan 	 -nan
4.833	 -1.000 	 0.000 	 -0.207 	 -0.207 	 -nan 	 -nan
3.586	 -1.000 	 -1.000 	 -0.279 	 -0.279 	 -nan 	 -nan
3.513	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.507	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.506	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
4.542	 -1.000 	 -1.000 	 0.000 	 -0.220 	 -nan 	 -nan
4.793	 -1.000 	 0.000 	 -0.209 	 -0.209 	 -nan 	 -nan
3.513	 -1.000 	 -1.000 	 -0.285 	 -0.285 	 -nan 	 -nan
3.431	 -1.000 	 -1.000 	 -0.291 	 -0.291 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
3.423	 -1.000 	 -1.000 	 -0.292 	 -0.292 	 -nan 	 -nan
